idx,phi_re,phi_im,psi_re,psi_im
115,1.668331,-0.974024,0.504192,0.863592
116,1.648610,-1.007044,0.521284,0.853383
117,1.628235,-1.039665,0.538170,0.842836
118,1.607215,-1.071873,0.554842,0.831955
119,1.585557,-1.103657,0.571295,0.820745
120,1.563272,-1.135003,0.587521,0.809209
121,1.540366,-1.165900,0.603514,0.797352
122,1.516851,-1.196334,0.619268,0.785180
123,1.492734,-1.226294,0.634777,0.772696
124,1.468025,-1.255768,0.650033,0.759906
125,1.442734,-1.284745,0.665033,0.746814
126,1.416872,-1.313212,0.679768,0.733427
127,1.390448,-1.341158,0.694235,0.719749
128,1.363473,-1.368573,0.708426,0.705785
129,1.335957,-1.395446,0.722336,0.691542
130,1.307912,-1.421765,0.735960,0.677025
131,1.279349,-1.447521,0.749292,0.662240
132,1.250278,-1.472703,0.762327,0.647192
133,1.220712,-1.497302,0.775061,0.631887
134,1.190662,-1.521307,0.787486,0.616332
135,1.160140,-1.544709,0.799600,0.600533
136,1.129158,-1.567499,0.811397,0.584495
137,1.097729,-1.589667,0.822872,0.568226
138,1.065865,-1.611206,0.834021,0.551732
139,1.033578,-1.632105,0.844840,0.535019
140,1.000881,-1.652358,0.855324,0.518094
141,0.967788,-1.671956,0.865468,0.500964
142,0.934311,-1.690891,0.875270,0.483635
143,0.900464,-1.709156,0.884724,0.466114
144,0.866260,-1.726744,0.893828,0.448409
145,0.831713,-1.743647,0.902578,0.430526
146,0.796835,-1.759859,0.910970,0.412472
147,0.761643,-1.775374,0.919001,0.394255
148,0.726148,-1.790184,0.926668,0.375882
149,0.690365,-1.804286,0.933967,0.357359
150,0.654309,-1.817672,0.940896,0.338695
151,0.617993,-1.830337,0.947452,0.319897
152,0.581433,-1.842278,0.953633,0.300972
153,0.544642,-1.853488,0.959436,0.281927
154,0.507635,-1.863963,0.964858,0.262771
155,0.470427,-1.873699,0.969898,0.243511
156,0.433032,-1.882693,0.974554,0.224154
157,0.395466,-1.890941,0.978823,0.204708
158,0.357743,-1.898439,0.982704,0.185181
159,0.319878,-1.905185,0.986196,0.165581
160,0.281887,-1.911175,0.989297,0.145915
161,0.243784,-1.916408,0.992006,0.126192
162,0.205584,-1.920882,0.994321,0.106418
163,0.167302,-1.924594,0.996243,0.086602
164,0.128955,-1.927543,0.997770,0.066752
165,0.090556,-1.929728,0.998901,0.046875
166,0.052121,-1.931148,0.999636,0.026980
167,0.013666,-1.931803,0.999975,0.007074
168,-0.024795,-1.931693,0.999918,-0.012835
169,-0.063246,-1.930816,0.999464,-0.032738
170,-0.101671,-1.929174,0.998614,-0.052629
171,-0.140057,-1.926768,0.997368,-0.072499
172,-0.178387,-1.923598,0.995728,-0.092340
173,-0.216646,-1.919665,0.993692,-0.112144
174,-0.254820,-1.914972,0.991262,-0.131904
175,-0.292892,-1.909520,0.988440,-0.151612
176,-0.330849,-1.903310,0.985226,-0.171260
177,-0.368674,-1.896347,0.981621,-0.190840
178,-0.406353,-1.888631,0.977627,-0.210344
179,-0.443871,-1.880167,0.973246,-0.229765
180,-0.481213,-1.870958,0.968479,-0.249094
181,-0.518365,-1.861008,0.963328,-0.268325
182,-0.555310,-1.850319,0.957796,-0.287450
183,-0.592036,-1.838897,0.951883,-0.306461
184,-0.628527,-1.826747,0.945594,-0.325350
185,-0.664769,-1.813872,0.938929,-0.344110
186,-0.700748,-1.800279,0.931893,-0.362734
187,-0.736449,-1.785971,0.924487,-0.381214
188,-0.771858,-1.770956,0.916714,-0.399543
189,-0.806961,-1.755239,0.908579,-0.417714
190,-0.841744,-1.738827,0.900083,-0.435719
191,-0.876193,-1.721725,0.891230,-0.453551
192,-0.910295,-1.703940,0.882025,-0.471204
193,-0.944037,-1.685481,0.872469,-0.488669
194,-0.977404,-1.666353,0.862568,-0.505941
195,-1.010384,-1.646565,0.852325,-0.523013
196,-1.042963,-1.626124,0.841744,-0.539877
197,-1.075129,-1.605038,0.830829,-0.556528
198,-1.106869,-1.583317,0.819585,-0.572957
199,-1.138170,-1.560968,0.808016,-0.589160
200,-1.169020,-1.538000,0.796127,-0.605129
201,-1.199406,-1.514422,0.783923,-0.620858
202,-1.229317,-1.490245,0.771407,-0.636342
203,-1.258741,-1.465476,0.758586,-0.651573
204,-1.287666,-1.440127,0.745465,-0.666545
205,-1.316081,-1.414207,0.732047,-0.681254
206,-1.343974,-1.387726,0.718340,-0.695692
207,-1.371334,-1.360696,0.704348,-0.709855
