idx,delta_phi_re,delta_phi_im,delta_psi_re,delta_psi_im
305,-1.65678,-3.5297,-2.57231,8.61105
306,-1.12316,-3.17959,-2.89511,8.28591
307,-0.597718,-2.87746,-3.19949,7.95798
308,-0.0813894,-2.62486,-3.48464,7.62815
309,0.425096,-2.42282,-3.74988,7.29732
310,0.92121,-2.2718,-3.99457,6.96636
311,1.40659,-2.17165,-4.21823,6.63617
312,1.881,-2.12164,-4.42042,6.30759
313,2.34431,-2.12047,-4.60084,5.98149
314,2.79649,-2.16623,-4.75926,5.6587
315,3.23757,-2.25647,-4.89554,5.34003
316,3.66758,-2.3882,-5.00965,5.02626
317,4.08659,-2.55792,-5.10164,4.71816
318,4.49463,-2.76165,-5.17166,4.41644
319,4.89171,-2.99499,-5.21992,4.12182
320,5.27777,-3.25314,-5.24674,3.83495
321,5.65267,-3.53099,-5.25251,3.55647
322,6.01621,-3.82312,-5.23769,3.28696
323,6.36809,-4.1239,-5.20281,3.02698
324,6.70787,-4.42753,-5.1485,2.77705
325,7.03503,-4.72812,-5.07542,2.53763
326,7.34894,-5.01971,-4.98431,2.30918
327,7.64885,-5.29638,-4.87598,2.09206
328,7.9339,-5.55227,-4.75127,1.88665
329,8.20312,-5.78167,-4.61109,1.69323
330,8.45546,-5.97907,-4.45639,1.51209
331,8.68978,-6.13921,-4.28816,1.34343
332,8.90486,-6.25712,-4.10745,1.18745
333,9.09944,-6.32822,-3.91532,1.04427
334,9.27221,-6.3483,-3.71286,0.914
335,9.42182,-6.31361,-3.50119,0.796678
336,9.54694,-6.22089,-3.28148,0.692321
337,9.64623,-6.06738,-3.05487,0.600897
338,9.7184,-5.85088,-2.82255,0.522335
339,9.7622,-5.56974,-2.58568,0.456524
340,9.77644,-5.2229,-2.34547,0.403314
341,9.76004,-4.80991,-2.1031,0.362517
342,9.71201,-4.33092,-1.85974,0.333906
343,9.6315,-3.78667,-1.61657,0.31722
344,9.51776,-3.17854,-1.37475,0.312162
345,9.37024,-2.50847,-1.1354,0.318399
346,9.18853,-1.77901,-0.89964,0.33557
347,8.9724,-0.993264,-0.668565,0.363279
348,8.7218,-0.154883,-0.443226,0.401101
349,8.43688,0.731957,-0.224644,0.448584
350,8.11799,1.6626,-0.0138024,0.505249
351,7.76567,2.63192,0.188361,0.570592
352,7.38068,3.63437,0.380952,0.644086
353,6.96398,4.66404,0.563128,0.725183
354,6.51671,5.71465,0.734096,0.813319
355,6.04022,6.77963,0.893122,0.907909
356,5.53606,7.85218,1.03953,1.00836
357,5.00594,8.92524,1.1727,1.11405
358,4.45176,9.99165,1.29207,1.22437
359,3.87558,11.0441,1.39717,1.33869
360,3.27961,12.0752,1.48756,1.45638
361,2.66619,13.0776,1.56289,1.57679
362,2.0378,14.0439,1.62287,1.69929
363,1.39703,14.9669,1.66729,1.82325
364,0.746555,15.8394,1.69599,1.94804
365,0.0891481,16.6544,1.70889,2.07302
366,-0.572368,17.4052,1.70599,2.19758
367,-1.2351,18.0853,1.68734,2.32111
368,-1.89613,18.6885,1.65307,2.44303
369,-2.55251,19.2088,1.60336,2.56274
370,-3.20129,19.6409,1.53848,2.67969
371,-3.83953,19.9796,1.45875,2.79334
372,-4.4643,20.2203,1.36454,2.90315
373,-5.07269,20.3589,1.2563,3.00863
374,-5.66189,20.3918,1.13451,3.10929
375,-6.22908,20.3158,0.999726,3.20469
376,-6.77156,20.1285,0.852543,3.2944
377,-7.28669,19.8277,0.693606,3.378
378,-7.77192,19.4123,0.523597,3.45513
379,-8.22481,18.8813,0.343246,3.52544
380,-8.64303,18.2348,0.153311,3.5886
381,-9.02437,17.4732,-0.0454122,3.64434
382,-9.36676,16.5976,-0.252103,3.69239
383,-9.66825,15.6099,-0.465918,3.73251
