x,y,psi2
-19.8997,1.15385,0.447133
-19.8997,1.25418,0.434629
-19.8997,1.35452,0.415261
-19.8997,1.45485,0.390207
-19.8997,1.55518,0.36145
-19.8997,1.65552,0.331565
-19.8997,1.75585,0.301694
-19.8997,1.85619,0.275205
-19.8997,1.95652,0.251257
-19.8997,2.05686,0.231462
-19.8997,2.15719,0.215099
-19.8997,2.25753,0.202342
-19.8997,2.35786,0.19174
-19.8997,2.45819,0.182744
-19.8997,2.55853,0.174413
-19.8997,2.65886,0.166068
-19.8997,2.7592,0.157445
-19.8997,2.85953,0.148389
-19.8997,2.95987,0.13912
-19.8997,3.0602,0.129807
-19.8997,3.16054,0.120784
-19.8997,3.26087,0.112288
-19.8997,3.3612,0.104506
-19.8997,3.46154,0.0974943
-19.8997,3.56187,0.0912604
-19.8997,3.66221,0.0858282
-19.8997,3.76254,0.0811817
-19.8997,3.86288,0.0775432
-19.8997,3.96321,0.0748225
-19.8997,4.06355,0.0734871
-19.8997,4.16388,0.0736725
-19.8997,4.26421,0.0759119
-19.8997,4.36455,0.0806152
-19.8997,4.46488,0.0882726
-19.8997,4.56522,0.0990836
-19.8997,4.66555,0.113962
-19.8997,4.76589,0.130568
-19.8997,4.86622,0.150836
-19.8997,4.96656,0.174068
-19.8997,5.06689,0.201235
-19.8997,5.16722,0.224313
-19.8997,5.26756,0.250879
-19.8997,5.36789,0.272645
-19.8997,5.46823,0.29607
-19.8997,5.56856,0.317068
-19.8997,5.6689,0.334334
-19.8997,5.76923,0.348476
-19.8997,5.86957,0.359557
-19.8997,5.9699,0.367886
-19.8997,6.07023,0.373965
-19.8997,6.17057,0.3784
-19.8997,6.2709,0.381847
-19.8997,6.37124,0.384915
-19.8997,6.47157,0.388098
-19.8997,6.57191,0.391701
-19.8997,6.67224,0.39582
-19.8997,6.77258,0.400327
-19.8997,6.87291,0.404877
-19.8997,6.97324,0.408962
-19.8997,7.07358,0.411954
-19.8997,7.17391,0.413181
-19.8997,7.27425,0.412005
-19.8997,7.37458,0.407902
-19.8997,7.47492,0.400511
-19.8997,7.57525,0.389686
-19.8997,7.67559,0.375528
-19.8997,7.77592,0.358388
-19.8997,7.87625,0.338857
-19.8997,7.97659,0.317723
-19.8997,8.07692,0.295928
-19.8997,8.17726,0.274517
-19.8997,8.27759,0.254553
-19.8997,8.37793,0.237069
-19.8997,8.47826,0.222996
-19.8997,8.5786,0.213112
-19.8997,8.67893,0.208004
-19.8997,8.77926,0.208034
-19.8997,8.8796,0.213331
-19.8997,8.97993,0.223783
-19.8997,9.08027,0.239066
-19.8997,9.1806,0.258652
-19.8997,9.28094,0.281862
-19.8997,9.38127,0.307899
-19.8997,9.48161,0.33589
-19.8997,9.58194,0.364943
-19.8997,9.68227,0.394182
-19.8997,9.78261,0.422782
-19.8997,9.88294,0.450004
-19.8997,9.98328,0.475218
-19.8997,10.0836,0.49791
-19.8997,10.1839,0.517689
-19.8997,10.2843,0.534285
-19.8997,10.3846,0.547538
-19.8997,10.4849,0.557391
-19.8997,10.5853,0.563875
-19.8997,10.6856,0.567067
-19.8997,10.786,0.56713
-19.8997,10.8863,0.564249
-19.8997,10.9866,0.558649
-19.8997,11.087,0.550587
-19.8997,11.1873,0.540317
-19.8997,11.2876,0.528123
-19.8997,11.388,0.51429
-19.8997,11.4883,0.499095
-19.8997,11.5886,0.482824
-19.8997,11.689,0.46572
-19.8997,11.7893,0.44801
-19.8997,11.8896,0.429907
-19.8997,11.99,0.41158
-19.8997,12.0903,0.393165
-19.8997,12.1906,0.374752
-19.8997,12.291,0.356423
-19.8997,12.3913,0.338212
-19.8997,12.4916,0.320167
-19.8997,12.592,0.302278
-19.8997,12.6923,0.284621
-19.8997,12.7926,0.267182
-19.8997,12.893,0.24992
-19.8997,12.9933,0.232937
-19.8997,13.0936,0.216281
-19.8997,13.194,0.199958
-19.8997,13.2943,0.183969
-19.8997,13.3946,0.168328
-19.8997,13.495,0.153026
-19.8997,13.5953,0.138451
-19.8997,13.6957,0.124066
-19.8997,13.796,0.110095
-19.8997,13.8963,0.0968818
-19.8997,13.9967,0.0847169
-19.8997,14.097,0.072439
-19.8997,14.1973,0.0612707
-19.8997,14.2977,0.0510583
-19.8997,14.398,0.0416839
-19.8997,14.4983,0.033476
-19.8997,14.5987,0.0264766
-19.8997,14.699,0.0202275
-19.8997,14.7993,0.0155598
-19.8997,14.8997,0.0124412
-19.8997,15,0.0106475
-19.7995,-15,0.312439
-19.7995,-14.8997,0.289708
-19.7995,-14.7993,0.268117
-19.7995,-14.699,0.247997
-19.7995,-14.5987,0.229437
-19.7995,-14.4983,0.212617
-19.7995,-14.398,0.197598
-19.7995,-14.2977,0.184441
-19.7995,-14.1973,0.173132
-19.7995,-14.097,0.163647
-19.7995,-13.9967,0.155918
-19.7995,-13.8963,0.149864
-19.7995,-13.796,0.145375
-19.7995,-13.6957,0.142305
-19.7995,-13.5953,0.140509
-19.7995,-13.495,0.139805
-19.7995,-13.3946,0.139997
-19.7995,-13.2943,0.140877
-19.7995,-13.194,0.142237
-19.7995,-13.0936,0.143878
-19.7995,-12.9933,0.145619
-19.7995,-12.893,0.147313
-19.7995,-12.7926,0.148831
-19.7995,-12.6923,0.150073
-19.7995,-12.592,0.15095
-19.7995,-12.4916,0.151399
-19.7995,-12.3913,0.151354
-19.7995,-12.291,0.150752
-19.7995,-12.1906,0.149529
-19.7995,-12.0903,0.147643
-19.7995,-11.99,0.145049
-19.7995,-11.8896,0.141725
-19.7995,-11.7893,0.137661
-19.7995,-11.689,0.132886
-19.7995,-11.5886,0.127424
-19.7995,-11.4883,0.121334
-19.7995,-11.388,0.114692
-19.7995,-11.2876,0.107566
-19.7995,-11.1873,0.100034
-19.7995,-11.087,0.0921767
-19.7995,-10.9866,0.0840712
-19.7995,-10.8863,0.0757952
-19.7995,-10.786,0.0674301
-19.7995,-10.6856,0.0590652
-19.7995,-10.5853,0.0507971
-19.7995,-10.4849,0.0415594
-19.7995,-10.3846,0.0358479
-19.7995,-10.2843,0.0260589
-19.7995,-10.1839,0.0220418
